learner_id,signup_date,state,age,exam_category,tier,monthly_spend_inr,months_subscribed,spend_to_date_inr,days_to_renewal,lessons_total,lessons_last_30d,mock_tests_total,mock_tests_last_30d,doubt_sessions,live_classes,days_active,days_since_last_login,avg_session_min,total_time_hrs,streak_days,login_freq_per_week,notes_saved,videos_rewatched,funnel_stage,churned,churn_risk_score,ltv_inr,cluster,segment,pca1,pca2,churn_probability,action_priority,action_label,action_reason,action_type,action_rev_upside
UA200000,2024-05-09,Gujarat,22,JEE,Plus,1562,9,14058,-397.0,1,8,4,6,3,6,24,3,49.7,0.8,3,2,9,4,Subscribed,0,5,14058.0,2,🧠 Serious Aspirants,0.1600427166847426,0.0106053659103949,0.241,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200001,2025-11-10,UP,20,JEE,Free,0,0,0,,1,0,5,0,3,9,17,5,25.3,0.4,7,1,16,2,First Lesson,0,0,0.0,3,😴 Casual Browsers,-0.4858120452539417,-0.030401851275763,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200002,2026-01-21,Bihar,23,CAT,Plus,1562,7,10934,164.0,1,4,3,2,5,7,22,3,10.8,0.2,3,2,11,3,Subscribed,0,6,9372.0,3,😴 Casual Browsers,-1.5138198947668764,-0.0069419130530049,0.387,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200003,2024-07-28,Gujarat,22,NEET,Iconic,2396,18,43128,-36.0,1,10,7,0,1,5,21,6,26.8,0.4,3,4,10,3,Subscribed,0,20,43128.0,3,😴 Casual Browsers,-0.7393905980576255,0.094026595677995,0.401,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,718.8
UA200004,2025-05-14,UP,21,CAT,Free,0,0,0,,1,0,5,0,3,9,23,0,24.3,0.4,6,2,17,4,Subscription Page Visited,0,0,0.0,2,🧠 Serious Aspirants,0.3197683785360546,-0.0449375736031353,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200005,2025-03-15,Gujarat,23,NEET,Plus,1562,13,20306,24.0,1,10,8,0,9,5,26,4,50.1,0.8,2,4,16,0,Subscribed,0,10,20306.0,2,🧠 Serious Aspirants,1.966680896077792,-0.2536798007249548,0.249,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200006,2024-06-14,Gujarat,22,UPSC,Plus,1562,2,3124,-540.0,1,11,8,4,3,3,34,8,44.8,0.7,5,2,13,3,Subscribed,0,5,3124.0,2,🧠 Serious Aspirants,1.7150966593854515,0.1754795320567619,0.206,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200007,2025-01-31,WB,18,SSC,Plus,1562,10,15620,-62.0,1,7,1,1,2,8,16,5,20.0,0.3,5,3,8,2,Subscribed,0,18,15620.0,3,😴 Casual Browsers,-2.2746636723616334,-0.0746380585886451,0.429,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200008,2025-02-17,Maharashtra,22,SSC,Free,0,0,0,,1,0,4,0,0,8,21,1,31.9,0.5,1,2,4,3,First Lesson,0,0,0.0,3,😴 Casual Browsers,-2.245524116207162,-0.2525377262575342,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200009,2025-05-02,UP,20,SSC,Free,0,0,0,,1,0,7,0,1,6,17,12,32.9,0.5,3,3,13,0,Signed Up,0,0,0.0,3,😴 Casual Browsers,-1.0747747721560412,0.0544389642285843,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200010,2025-07-23,Maharashtra,20,NEET,Free,0,0,0,,1,0,9,0,3,9,27,2,34.0,0.6,3,3,9,0,3+ Lessons,0,0,0.0,2,🧠 Serious Aspirants,-0.1537068990836064,-0.4670282724381527,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200011,2025-08-31,Maharashtra,23,SSC,Free,0,0,0,,1,0,5,0,3,3,12,2,25.6,0.4,2,1,6,0,3+ Lessons,0,0,0.0,3,😴 Casual Browsers,-2.8675370376590203,-0.4798516938964521,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200012,2024-08-01,Karnataka,19,UPSC,Plus,1562,11,17182,-215.0,1,6,4,4,2,10,26,10,45.2,0.8,3,2,12,0,Subscribed,0,5,17182.0,3,😴 Casual Browsers,-0.3852248631905242,-0.0924787517093467,0.455,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200013,2025-07-03,Rajasthan,23,NEET,Free,0,0,0,,1,0,7,0,1,5,27,56,48.7,0.8,5,3,9,3,3+ Lessons,0,0,0.0,0,⚠️ At-Risk,0.7146054453733064,2.583154257499021,0.0,😴 DORMANT,Win-back email with exam date urgency,Long inactive — exam deadline urgency is the trigger,reactivation,0.0
UA200014,2025-04-06,Bihar,21,NEET,Iconic,2396,16,38336,155.0,1,12,3,5,2,13,21,25,39.9,0.7,3,4,14,2,Subscribed,0,26,38336.0,0,⚠️ At-Risk,-0.2926060990854788,0.9547463255308096,0.509,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1677.1999999999998
UA200015,2024-11-10,Bihar,25,JEE,Plus,1562,5,7810,-332.0,1,9,6,1,5,8,29,13,41.2,0.7,3,5,16,3,Subscribed,0,7,7810.0,2,🧠 Serious Aspirants,1.6886722528681175,0.5163273142056718,0.287,✅ HEALTHY,Nurture with content recommendations,"Engaged, low risk — keep them happy",nurture,0.0
UA200016,2025-05-29,WB,17,NEET,Free,0,0,0,,1,0,3,0,4,5,25,12,36.0,0.6,2,2,18,1,Subscription Page Visited,0,0,0.0,2,🧠 Serious Aspirants,-0.0802339690980785,0.2025610186980814,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
UA200017,2025-11-21,Karnataka,21,Banking,Free,0,0,0,,1,0,4,0,2,1,22,0,36.7,0.6,2,4,5,0,First Lesson,0,0,0.0,3,😴 Casual Browsers,-1.6051287369428355,-0.604700009383163,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200018,2024-03-28,Bihar,22,CAT,Free,0,0,0,,1,0,1,0,2,8,24,20,33.7,0.6,5,4,12,1,Signed Up,0,0,0.0,3,😴 Casual Browsers,-0.7014450426630513,0.5737612319470641,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200019,2024-03-28,WB,20,UPSC,Free,0,0,0,,1,0,3,0,5,6,34,12,37.2,0.6,5,1,15,3,3+ Lessons,0,0,0.0,2,🧠 Serious Aspirants,1.061347343477829,0.4078136827352132,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200020,2025-10-31,UP,28,NEET,Iconic,2396,6,14376,67.0,1,5,3,3,5,7,21,22,39.0,0.7,5,8,19,2,Subscribed,1,50,9344.0,2,🧠 Serious Aspirants,1.4898666724559937,0.9247737973186756,0.615,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1677.1999999999998
UA200021,2025-05-29,Rajasthan,22,JEE,Free,0,0,0,,2,0,3,0,8,10,24,0,46.3,1.5,2,5,12,3,3+ Lessons,0,0,0.0,1,🚀 High Intent,1.2018712118522354,-1.484866235537131,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200022,2025-04-23,Bihar,21,SSC,Free,0,0,0,,1,0,2,0,2,6,21,3,27.7,0.5,3,2,10,1,First Lesson,0,0,0.0,3,😴 Casual Browsers,-1.832625030411676,-0.31408328461683,0.0,👀 OBSERVING,Continue onboarding sequence,Still in early journey — educate before selling,nurture,0.0
UA200023,2025-09-10,Bihar,19,UPSC,Iconic,2396,17,40732,317.0,1,12,14,3,6,8,27,55,46.8,0.8,5,3,18,4,Subscribed,0,17,40732.0,0,⚠️ At-Risk,3.3785029313345945,2.793183583053886,0.391,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,718.8
UA200024,2026-02-03,Gujarat,22,SSC,Plus,1562,12,18744,369.0,1,5,5,0,3,4,19,7,30.2,0.5,4,6,7,1,Subscribed,0,22,15620.0,3,😴 Casual Browsers,-0.8841419764289175,-0.0614075039553409,0.481,🟡 WATCH,Schedule check-in from educator,Early warning signals — proactive educator outreach,churn_prevention,468.59999999999997
UA200025,2025-04-14,Maharashtra,20,CAT,Iconic,2396,8,19168,-46.0,1,6,4,2,1,7,16,60,20.6,0.3,4,1,11,1,Subscribed,0,21,14376.0,0,⚠️ At-Risk,-2.277577151961342,2.595824276027487,0.559,🟠 HIGH RISK,Send re-engagement push notification,Drop in session activity — remind them of progress made,churn_prevention,1677.1999999999998
UA200026,2025-11-27,UP,26,SSC,Free,0,0,0,,1,0,3,0,4,3,14,52,22.4,0.4,2,1,10,0,Mock Test Taken,0,0,0.0,0,⚠️ At-Risk,-2.572272078146981,2.1017318944973566,0.0,⚡ HOT LEAD,Show Plus offer immediately after mock test result,Mock test completion = highest intent signal. Strike now.,conversion,1562.0
